"Region","Metabolite","method","alternative","statistic","p.value","p.adj.reg","p.adj.reg.star"
"LV","Adenosine","Wilcoxon rank sum exact test","two.sided",565,0.000238722485171291,0.00183600800227226,"**"
"IVS","Adenosine","Wilcoxon rank sum exact test","two.sided",582,1.13346408296499e-05,0.000255954695469542,"***"
"RV","Adenosine","Wilcoxon rank sum exact test","two.sided",509,0.00355094321948052,0.0156368573183884,"*"
"LA","Adenosine","Wilcoxon rank sum exact test","two.sided",644,1.34804937833106e-07,5.05861241292366e-06,"****"
"IAS","Adenosine","Wilcoxon rank sum exact test","two.sided",140,0.234766146703323,0.48236936723009,"ns"
"RA","Adenosine","Wilcoxon rank sum exact test","two.sided",433,0.333885671005336,0.506073978115328,"ns"
"AV","Adenosine","Wilcoxon rank sum exact test","two.sided",87,3.34511301852164e-07,6.25082559816968e-06,"****"
"MV","Adenosine","Wilcoxon rank sum exact test","two.sided",169,0.00109814704144784,0.00846151194041912,"**"
"PV","Adenosine","Wilcoxon rank sum exact test","two.sided",43,2.2573336212932e-08,6.89740828728477e-07,"****"
"TV","Adenosine","Wilcoxon rank sum exact test","two.sided",36,6.39467031075776e-11,3.28411996673916e-09,"****"
"LCA","Adenosine","Wilcoxon rank sum exact test","two.sided",259,0.672907331989022,0.863551413879307,"ns"
"RCA","Adenosine","Wilcoxon rank sum exact test","two.sided",209,0.403730140623256,0.601786436023344,"ns"
"AA","Adenosine","Wilcoxon rank sum exact test","two.sided",381,0.212046109417791,0.389015597244444,"ns"
"PA","Adenosine","Wilcoxon rank sum exact test","two.sided",546,2.47394724071964e-06,4.71116332306008e-05,"****"
"SVC","Adenosine","Wilcoxon rank sum exact test","two.sided",13,0.606060606060606,0.855614973262032,"ns"
"IVC","Adenosine","Wilcoxon rank sum exact test","two.sided",12,0.222222222222222,0.706750040083373,"ns"
